Name,Serving Size (g),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
Piña Colada (Small),444,380,4.5,4,0.2,0,80,84,2,75,1
Piña Colada (Medium),560,510,7,6,0.2,0,115,112,3,99,2
Piña Colada (Large),887,760,9,8,0.3,2,160,168,4,151,2
BerryPom (Small),400,260,0.2,0,0,0,35,66,0,65,0
BerryPom (Medium),525,350,0.2,0,0,0,45,88,0,86,0
BerryPom (Large),800,530,0.4,0,0,0,70,132,0,128,0.5
Orange (Small),395,210,0.1,0,0,0,35,53,0,51,0.5
Orange (Medium),488,280,0.1,0,0,0,45,69,0,65,1
Orange (Large),790,430,0.2,0,0,0,65,106,0,102,1
Strawberry (Small),399,230,0.3,0,0,0,35,58,0,55,0
Strawberry (Medium),524,310,0.4,0,0,0,45,77,0,71,0.5
Strawberry (Large),799,460,0.5,0,0,0,70,116,0,109,1
1/4 lb. Bacon Cheese GrillBurger,243,600,35,14,1,100,1280,38,1,6,33
1/4 lb. FlameThrower GrillBurger,230,720,50,16,1,90,1300,35,1,4,33
1/4 lb. Mushroom Swiss GrillBurger,199,550,33,11,1,80,850,38,1,2,26
1/2 lb. GrillBurger with Cheese,295,700,39,15,1,135,820,42,2,7,46
1/4 lb. GrillBurger with Cheese,233,510,27,11,1,75,1080,42,2,7,26
Original Cheeseburger,156,370,18,8,1,60,830,31,1,7,21
Original Double Cheeseburger,226,580,34,16,1.5,120,1150,31,1,7,37
DQ Ultimate Burger,264,720,46,19,1.5,145,1310,32,2,5,45
Chicken Strip Basket 4pc with Gravy,368,810,40,6,0.1,80,2530,78,16,1,35
Chicken Strip Basket 6pc with Gravy,453,1050,53,8,0.1,120,3160,92,22,1,50
Chicken Quesadilla Basket,467,930,48,21,1,100,2510,86,6,8,40
Veggie Quesadilla Basket,410,860,47,21,1,75,2060,85,6,8,27
Iron Grilled Turkey Sandwich,233,540,28,7,0.3,80,1980,43,3,3,30
Iron Grilled Supreme BLT Sandwich,172,630,36,10,0.2,15,1630,41,2,3,27
Iron Grilled Cheese Sandwich,123,360,13,8,0.4,35,1070,41,2,1,16
Crispy Chicken Sandwich,198,530,28,3.5,0.1,125,1250,50,3,3,23
Grilled Chicken Sandwich,177,360,16,2.5,0.1,40,1020,30,1,4,25
Crispy Chicken Salad,424,450,24,9,0,145,1170,28,5,8,31
Grilled Chicken Salad,424,330,15,8,0,75,1210,14,4,8,36
Side Salad,113,25,0,0,0,0,15,5,2,3,1
Crispy Chicken Wrap,114,360,21,5,0.3,35,690,29,4,2,13
Grilled Chicken Wrap,114,290,15,4,0.3,30,710,22,1,2,15
Crispy FlameThrower Chicken Wrap,114,370,22,5,0.2,35,650,29,4,2,13
Grilled FlameThrower Chicken Wrap,117,300,16,4.5,0.2,35,690,22,1,2,16
3 Chicken Strips,128,350,20,3,0,60,960,22,10,0,22
Chili Cheese Dog,139,340,20,9,0.4,55,670,24,1,3,15
Hot Dog,97,260,15,6,0.2,40,550,22,1,3,11
Hot Dog Kid's Meal,97,260,15,6,0.2,40,550,22,1,3,11
Cheeseburger Kid's Meal,156,370,18,8,1,60,830,31,1,7,21
Hamburger Kid's Meal,142,320,14,6,0.5,50,590,31,1,6,19
2 Chicken Strips (Kid's) Meal,85,230,13,2,0,40,640,14,6,0,15
