Name,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g),Caffeine (mg),Calcium (mg),Iron (mg),Zinc (mg),Vitamin A (μg),Vitamin E (mg),Vitamin D (μg),Vitamin C (mg),Thiamin (mg),Riboflavin (mg)
Fat Free Vanilla Frozen Yogurt (Green Scoop),70,0,0,0,0,30,16,0,15,2,0,78,0,,,,0,,,
Fat Free Vanilla Frozen Yogurt (Red Scoop),35,0,0,0,0,15,8,0,8,1,0,52,0,,,,0,,,
Fruity Rocks Smoothie (Large),550,4,2.5,0,10,160,116,2,105,9,0,195,2.7,0.22,0,0.3,0,108,0.024,0.026
Fruity Rocks Smoothie (Medium),400,3,2,0,10,115,85,2,77,6,0,130,1.8,0,0,0.3,0,81,0.024,0.026
Fruity Rocks Smoothie (Small),280,2,1,0,5,85,59,1,53,4,0,104,1.08,0,0,0,0,54,0,0
Ginger Puree Boost,30,0,0,0,0,5,6,1,1,1,0,0,0.36,,0,,0,3.6,,
Ginger Shot (Rtd),25,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,,45,0,0
Gingerbread Smoothie (Large),690,5,3,0,20,430,146,0,132,16,0,780,7.2,0,90,0,0,3.6,0,0
Gingerbread Smoothie (Medium),510,4,2,0,15,320,107,0,97,12,0,585,5.4,0,72,0,0,3.6,0,0
"Gingerbread Smoothie, Plant Based with Syrup (Large)",840,30,23,0,0,300,140,5,100,6,0,585,8.1,0,630,0,7,3.6,0,0.455
"Gingerbread Smoothie, Plant Based with Syrup (Medium)",670,24,19,0,0,230,112,4,80,5,0,455,6.3,0,450,0,5,3.6,0,0.325
"Gingerbread Smoothie, Plant Based with Syrup (Small)",430,15,11,0,0,160,74,2,54,3,0,260,3.6,0,315,0,3,1.8,0,0.195
"Gingerbread Smoothie, Plant Based (Large)",790,30,23,0,0,290,129,5,90,6,0,585,8.1,0,630,0,7,3.6,0,0.455
"Gingerbread Smoothie, Plant Based (Medium)",630,24,19,0,0,220,101,4,70,5,0,390,6.3,0,450,0,5,3.6,0,0.325
"Gingerbread Smoothie, Plant Based (Small)",390,15,11,0,0,140,63,2,43,3,0,260,3.6,0,315,0,3,1.8,0,0.195
Gingerbread Smoothie (Small),350,2.5,1.5,0,10,220,74,0,67,8,0,390,3.6,0,36,0,0,1.8,0,0
Granola (Topping),110,4,0.5,0,0,10,16,2,4,3,0,26,0.72,0.44,0,,,0,0.096,0.026
Great Greens Juice (Large),230,1.5,0,0,0,120,55,6,37,6,0,260,4.5,1.1,2070,2.25,0,90,0.24,0.325
Great Greens Juice (Medium),190,1,0,0,0,95,44,5,30,5,0,195,3.6,0.88,1710,1.5,0,72,0.18,0.26
Great Greens Juice (Small),140,1,0,0,0,70,33,3,22,4,0,195,2.7,0.66,1260,1.2,0,54,0.12,0.195
Greens 'n Ginger Smoothie (Large),380,1.5,0,0,0,40,91,7,77,6,0,195,1.8,0.44,2070,2.25,0,216,0.12,0.13
Greens 'n Ginger Smoothie (Medium),290,1,0,0,0,30,70,5,60,4,0,130,1.44,0.44,1440,1.5,0,153,0.096,0.104
Greens 'n Ginger Smoothie (Small),230,1,0,0,0,25,56,4,48,4,0,130,1.08,0.44,1350,1.2,0,144,0.072,0.078
Honest Tea (Black Tea),0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,
Honest Tea (Green Tea),35,0,0,0,0,0,9,0,9,0,0,0,0,,,,0,,,
Honey (Topping),30,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0
Impossible Handwich,220,12,5,0,15,580,16,2,1,11,0,260,1.8,,18,,,1.8,,
Individually Quick Frozen Bananas (Blue Scoop),45,0,0,0,0,0,11,1,6,1,0,0,0,0,0,0,0,7.2,0,0.026
Individually Quick Frozen Bananas (Green Scoop),50,0,0,0,0,0,13,2,7,1,0,0,0,0,0,0,0,7.2,0.024,0.026
Individually Quick Frozen Bananas (Red Scoop),30,0,0,0,0,0,8,1,4,0,0,0,0,0,0,0,0,3.6,0,0.026
Individually Quick Frozen Blueberries (Blue Scoop),30,0,0,0,0,0,8,1,5,0,0,0,0,0,0,0.3,0,7.2,0.024,0.026
Individually Quick Frozen Blueberries (Green Scoop),35,0,0,0,0,0,9,1,6,0,0,0,0,0,0,0.3,0,9,0.024,0.026
Individually Quick Frozen Blueberries (Red Scoop),20,0,0,0,0,0,5,1,3,0,0,0,0,0,0,0,0,5.4,0,0
Individually Quick Frozen Kale (Blue Scoop),15,0,0,0,0,10,3,1,1,1,0,52,0.36,0.22,540,0.3,0,54,0.024,0.026
Individually Quick Frozen Kale (Red Scoop),5,0,0,0,0,0,1,0,0,1,0,26,0.36,0,225,0,0,22.5,0,0
Individually Quick Frozen Mangos (Blue Scoop),35,0,0,0,0,0,9,1,8,0,0,0,0,0,360,0.3,,22.5,0.024,0.026
Individually Quick Frozen Mangos (Green Scoop),40,0,0,0,0,0,10,1,9,0,0,0,0,0,405,0.6,,22.5,0.024,0.026
Individually Quick Frozen Mangos (Red Scoop),20,0,0,0,0,0,6,1,5,0,0,0,0,0,225,0.3,,13.5,0.024,0.026
Individually Quick Frozen Peaches (Blue Scoop),20,0,0,0,0,0,5,1,4,0,0,0,0,0,36,0.3,0,5.4,0,0
Individually Quick Frozen Peaches (Green Scoop),20,0,0,0,0,0,5,1,5,1,0,0,0,0,36,0.3,0,5.4,0,0
Individually Quick Frozen Peaches (Red Scoop),15,0,0,0,0,0,3,0,3,0,0,0,0,0,18,0.3,0,3.6,0,0
Individually Quick Frozen Pineapple (Blue Scoop),25,0,0,0,0,0,6,1,4,0,0,0,0,0,0,0,0,31.5,0.024,0
Individually Quick Frozen Pineapple (Green Scoop),30,0,0,0,0,0,8,1,6,0,0,0,0.36,0,0,0,0,45,0.048,0.026
Individually Quick Frozen Pineapple (Red Scoop),15,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,22.5,0.024,0
Individually Quick Frozen Pitaya (Black Scoop),20,0,0,0,0,0,3,1,2,0,0,0,0,,,,,3.6,,
Individually Quick Frozen Strawberries (Blue Scoop),15,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,40.5,0,0
Individually Quick Frozen Strawberries (Green Scoop),20,0,0,0,0,0,5,1,3,0,0,0,0.36,0,0,0,0,54,0,0
Individually Quick Frozen Strawberries (Red Scoop),10,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,27,0,0
Kale Boost,15,0,0,0,0,10,3,1,1,1,0,52,0.36,0.22,540,0.3,0,54,0.024,0.026
"Kale-Rribbean Breeze Smoothie, Plant-Based (Large)",470,4.5,3,0,0,70,110,7,91,6,0,260,3.6,0.44,2880,2.25,0,270,0.18,0.195
"Kale-Rribbean Breeze Smoothie, Plant-Based (Medium)",390,4.5,3,0,0,60,90,7,73,6,0,195,2.7,0.44,2700,2.25,0,252,0.12,0.13
"Kale-Rribbean Breeze Smoothie, Plant-Based (Small)",300,4,3,0,0,55,66,5,52,5,0,195,2.7,0.44,2070,1.5,0,207,0.096,0.104
Lemon Ginger Cayenne Shot,15,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,18,0,0
Lemonade (8 fl oz),120,0,0,0,0,0,29,,29,0,0,0,0,0,,,,7.2,0,0
Lime Sherbet (Blue Scoop),60,0.5,0,0,0,10,12,0,11,0,0,26,0,,,,,,,
Lime Sherbet (Green Scoop),70,1,0.5,0,5,10,16,0,14,0,0,26,0,,,,,,,
Lime Sherbet (Red Scoop),35,0,0,0,0,5,8,0,7,0,0,26,0,,,,,,,
Mango and Passionfruit Flavored Pear Juice Blend (8 fl oz),110,0,0,0,0,15,26,,24,1,0,26,1.08,0,,,,13.5,0,0
Mango-A-Go-Go Smoothie (Large),510,2,1.5,0,5,60,123,4,110,2,0,130,1.8,0,1350,1.5,0,117,0.096,0.078
Mango-A-Go-Go Smoothie (Medium),390,2,1,0,5,45,96,3,85,2,0,104,1.44,0,1170,1.2,0,90,0.072,0.078
Mango-A-Go-Go Smoothie (Small),290,1,0.5,0,5,35,70,2,63,1,0,78,1.44,0,810,0.9,0,63,0.048,0.052
Matcha Green Tea Blast Smoothie (Large),480,0,0,0,0,220,102,1,95,14,50,390,1.8,0,540,0,0,0,0,0
Matcha Green Tea Blast Smoothie (Medium),380,0,0,0,0,180,82,1,76,12,50,325,1.44,0,540,0,0,0,0,0
Matcha Green Tea Blast Smoothie (Small),260,0,0,0,0,125,56,1,52,8,50,195,1.44,0,540,0,0,0,0,0
Matcha Green Tea Powder Boost,5,0,0,0,0,0,0,0,0,0,25,0,0,,270,,,0,,
Matcha Green Tea (8 fl oz),30,0,0,0,0,10,3,,0,3,276,26,1.8,0,,,,3.6,0,0
Matcha Over Ice + Agave (Large),90,1,0,0,0,30,13,8,5,6,634,104,3.6,0,6210,0,0,9,0,0
Matcha Over Ice + Agave (Medium),70,1,0,0,0,20,11,6,5,5,495,78,2.7,0,4860,0,0,7.2,0,0
Matcha Over Ice + Agave (Small),70,0.5,0,0,0,20,11,5,5,4,420,78,2.7,0,4140,0,0,5.4,0,0
Matcha Over Ice with Sweet Cloud Whip Foam (Large),140,4.5,3,0,0,35,20,7,8,6,565,130,3.6,0,5580,7.5,0.8,7.2,0,0.052
Matcha Over Ice with Sweet Cloud Whip Foam (Medium),140,5,4,0,0,35,20,6,9,4,425,130,2.7,0,4230,10.5,0.8,5.4,0,0.052
Matcha Over Ice with Sweet Cloud Whip Foam (Small),130,5,4,0,0,30,19,5,9,4,350,130,1.8,0,3510,10.5,0.8,5.4,0,0.052
Matcha Over Ice (Large),60,1,0,0,0,30,7,7,0,5,562,104,3.6,0,5580,0,0,7.2,0,0
Matcha Over Ice (Medium),45,0.5,0,0,0,20,5,5,0,4,421,78,2.7,0,4140,0,0,5.4,0,0
Matcha Over Ice (Small),30,0,0,0,0,15,4,4,0,3,281,52,1.44,0,2790,0,0,3.6,0,0
Maui Mama (Large),420,2.5,1,0,5,25,98,4,89,3,0,130,1.08,0.22,0,0.3,0,144,0.048,0.026
Maui Mama (Medium),310,1.5,1,0,5,20,72,3,65,2,0,104,0.72,0.22,0,0.3,0,108,0.048,0.026
Maui Mama (Small),220,1,0.5,0,5,15,53,2,47,1,0,52,0.36,0,0,0,0,72,0.024,0.026
Mega Mango Smoothie (Large),330,1,0,0,0,10,80,6,71,4,0,78,1.08,0.22,1260,1.5,0,270,0.12,0.104
Mega Mango Smoothie (Medium),280,1,0,0,0,10,69,5,62,3,0,78,0.72,0.22,1080,1.5,0,216,0.096,0.104
Mega Mango Smoothie (Small),190,0.5,0,0,0,5,46,3,41,2,0,52,0.72,0.22,720,0.9,0,144,0.072,0.052
Merry Orange Cranberry Smoothie (Large),780,8,7,0,10,65,167,1,130,2,0,130,0.72,0,18,15,0,99,0.024,0.026
Merry Orange Cranberry Smoothie (Medium),580,8,7,0,5,50,121,1,95,2,0,130,0.36,0,18,15,0,72,0.024,0.026
Merry Orange Cranberry Smoothie (Small),410,7,6,0,5,35,85,0,65,1,0,78,0.36,0,0,15,0,45,0,0
"Merry Orange Cranberry Smoothie, Without Cocowhip (Large)",700,2.5,1.5,0,10,65,156,1,125,2,0,130,0.72,0,18,0,0,99,0.024,0.026
"Merry Orange Cranberry Smoothie, Without Cocowhip (Medium)",490,2,1.5,0,5,50,110,1,90,2,0,130,0.36,0,18,0,0,72,0.024,0.026
"Merry Orange Cranberry Smoothie, Without Cocowhip (Small)",330,1.5,1,0,5,35,74,0,60,1,0,78,0.36,0,0,0,0,45,0,0
Mixed Berry Flavored Grape Juice Blend (8 fl oz),140,0,0,0,0,20,33,0,32,0,0,26,0,0,0,0,0,1.8,0,0
"National Smoothie Day, Mystery Smoothie (Large)",510,3.5,2.5,0,10,75,117,1,105,1,0,195,0.36,0,0,0.3,0,9,0.024,0.026
