Name,Serving Size Description,Serving Size (g),Serving Size (mL),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
Diced Bacon (Build Your Own Omelette),,,,80,7,2.5,0,10,340,0,0,0,6
Diced Ham (Build Your Own Omelette),,,,35,1,0,0,15,310,1,0,1,5
Hash Brown (Build Your Own Omelette),,,,220,14,3,0,0,240,20,2,0,2
Pork Sausage Link (Build Your Own Omelette),,,,210,21,7,0,35,330,1,0,0,5
Roasted Cherry Tomatoes (Build Your Own Omelette),,,,30,1,0,0,0,100,5,1,3,1
Sauteed Green Peppers & Onions (Build Your Own Omelette),,,,70,7,1.5,0,0,45,2,0,1,0
Sauteed Mushrooms (Build Your Own Omelette),,,,70,7,1.5,0,0,50,2,1,1,2
Sauteed Spinach (Build Your Own Omelette),,,,80,7,1.5,0,0,90,2,1,0,2
Tomato (Build Your Own Omelette),,,,10,0,0,0,0,0,2,1,2,1
Avocado (Build Your Own Omelette),,,,80,7,1,0,0,0,4,3,0,1
"Fire Roasted Pobla (No Salsa, Build Your Own Omelette)",,,,15,0,0,0,0,130,3,1,1,0
Sour Cream (Build Your Own Omelette),,,,60,6,3.5,0,20,15,1,0,1,1
Bourbon Bacon Jam Benedict,,,,680,42,17,0.5,375,1970,42,2,10,32
Classic Benedict,,,,450,23,10,0,375,1420,34,1,3,26
Pesto Veggie Benedict,,,,620,41,13,0.5,355,1240,41,5,6,22
"Spicy Pobla (No Benedict, No Side)",,,,570,28,12,0,430,1510,38,3,4,39
Breakfast Biscuit Sandwich (No Side),,,,990,70,25,0.5,370,2110,60,2,6,28
Build Your Combo - Fresh Strawberries & Cream Biscuit (No Side),,,,1160,78,28,1,20,1630,104,5,25,12
Buttermilk Biscuits & Gravy Combo With Country Gravy (No Side),,,,1280,98,33,0.5,70,2590,80,4,6,20
Buttermilk Biscuits & Gravy Combo With Sausage Gravy (No Side),,,,1300,98,32,0,55,2680,83,4,6,22
Chicken Biscuit Sandwich With Country Gravy (No Side),,,,1100,71,22,0.5,50,2600,85,3,5,29
Chicken Biscuit Sandwich With Sausage Gravy (No Side),,,,1110,71,21,0,45,2640,86,3,5,30
Fresh Strawberries & Cream Biscuit,,,,940,63,25,1,20,1390,84,3,25,10
Appetizer Sampler (With Marinara Sauce),,,,1440,73,19,0,125,3640,135,9,12,60
Chicken Quesadilla,,,,1030,65,29,1,175,2750,62,3,6,51
Crispy Shrimp,,,,460,22,4,0,85,940,51,3,12,16
Mozza Sticks (With Marinara Sauce),,,,630,32,13,0.5,75,1820,54,4,8,30
Big Brunch,,,,920,64,21,1.5,265,2010,44,2,8,43
Big Brunch With Impossible Patty,,,,860,54,17,0,195,1590,53,7,7,39
Bourbon Bacon Jam,,,,1020,73,23,2,105,2320,49,2,13,40
Bourbon Bacon Jam With Impossible Patty,,,,950,63,19,0.5,35,1910,58,7,12,35
Classic Chicken Sandwich With Crispy Chicken,,,,1100,68,22,1.5,115,2120,73,7,7,52
Classic Chicken Sandwich With Grilled Chicken,,,,980,57,20,1.5,180,2570,56,7,7,64
Cowboy BBQ,,,,1060,65,21,1.5,95,2740,80,4,21,40
Cowboy BBQ With Impossible Patty,,,,1000,55,17,0,25,2320,89,9,20,36
Jalape (No Kick),,,,1140,88,27,2.5,115,2140,46,4,9,43
Jalape With Impossible Patty (No Kick),,,,1080,78,23,1,40,1730,55,9,8,38
The Classic,,,,780,53,17,1.5,90,1910,45,3,9,32
The Classic With Bacon,,,,880,61,20,1.5,100,2230,46,3,10,38
The Classic With Bacon and Impossible Patty,,,,810,52,16,0,25,1810,54,8,9,34
The Classic With Impossible Patty,,,,710,43,13,0,15,1500,54,8,8,27
Cali Roasted Turkey Melt,,,,1110,71,21,1.5,130,1930,63,11,7,59
Nashville Hot Chicken Melt,,,,2100,165,39,2.5,170,4030,98,8,14,62
Philly Cheese Steak Stacker,,,,820,47,18,1.5,115,2140,55,3,8,47
Chopped Chicken Salad With Crispy Chicken,,,,840,57,20,1,110,1690,38,14,7,48
Chopped Chicken Salad With Grilled Chicken,,,,700,50,19,1.5,125,1920,22,13,7,46
Fresh Berry Salad With Crispy Chicken,,,,470,26,4,0,40,640,42,14,10,22
Fresh Berry Salad With Grilled Chicken,,,,330,19,3,0,50,870,26,13,10,21
Fresh Berry Salad With Salmon,,,,490,27,4.5,0,100,700,27,13,10,41
House Salad,,,,140,9,6,0.5,25,200,7,3,3,9
Tomato Basil Soup,,,,170,13,8,0,40,1000,0,2,7,2
Balsamic Vinaigrette,,,44,160,15,2.5,0,5,270,6,0,6,0
Buttermilk Ranch Dressing,,,44,160,16,2.5,0,15,260,1,0,1,1
Honey Mustard,,,44,170,13,2,0,10,330,12,0,12,1
Balsamic Vinaigrette,,,89,320,30,4.5,0,10,540,13,0,12,0
Buttermilk Ranch Dressing,,,89,320,33,5,0,25,530,3,0,2,2
Honey Mustard,,,89,340,27,4,0,25,660,25,1,23,1
Country Fried Steak Dinner With Country Gravy,,,,800,56,18,1.5,95,2000,44,2,1,31
Country Fried Steak Dinner With Sausage Gravy,,,,820,56,17,1.5,80,2090,47,3,1,33
Pesto Grilled Chicken,,,,420,15,3,0,220,2540,3,1,1,69
Pot Roast,,,,360,20,10,0,130,1660,11,0,2,35
Salmon,,,,250,12,2,0,100,660,2,0,1,35
Sirloin Steak Tips,,,,510,31,9,1,110,1450,21,2,16,37
T-Bone Steak (10 oz),,,,290,11,4.5,0.5,115,580,0,0,0,49
Original Buttermilk Pancakes (Side),2 pancakes,,,320,15,6,0,60,1060,39,2,7,9
Broccoli With Garlic Butter (Side),,,,90,7,3.5,0,15,150,5,2,1,3
"House Salad (Without Dressing, Side)",,,,140,9,6,0.5,25,200,7,3,3,9
Macaroni & Cheese (Side),,,,350,20,10,0,35,920,32,1,4,12
Onion Rings (Side),,,,560,30,6,0,0,1160,64,4,6,7
Red Skin Mashed Potatoes (Side),,,,240,13,2.5,0,0,680,30,3,1,5
Seasoned Fries (Side),,,,320,15,2.5,0,0,1170,42,4,0,5
Yellow & Green Beans With Garlic Butter (Side),,,,100,7,3.5,0,15,135,9,4,3,2
Buttermilk Crispy Chicken Strips & Fries,,,,890,41,8,0,95,2660,83,7,1,46
Buttermilk Crispy Chicken Strips & Fries With BBQ Sauce,,,,1140,42,8,0,95,4540,142,9,41,48
Buttermilk Crispy Chicken Strips & Fries With Nashville Hot Sauce,,,,1890,147,24,1,95,4010,98,13,4,49
Crispy Fish & Fries,,,,1060,63,21,0,100,3060,88,8,2,35
Crispy Shrimp & Fries,,,,980,58,10,0.5,105,2380,94,6,13,22
Fisherman's Platter,,,,1140,65,18,0.5,115,3190,104,8,13,34
Garlic Bread (Side),,,,150,8,1.5,0,0,210,15,0,1,3
"All-Natural Black Angus Jr. Cheeseburger (With Applesauce, Kids)",,,,750,46,16,1.5,85,1470,53,3,17,31
AppleSauce (Kids),,,,50,0,0,0,0,0,14,1,12,0
French Toast Sticks (Kids),,,,680,18,6,0,150,670,120,6,70,13
Happy Face Pancake With Buttermilk Pancake (Kids),,,,540,37,18,0,290,920,35,2,16,18
Happy Face Pancake With Chocolate Pancake (Kids),,,,540,37,18,0,290,920,36,2,16,18
Jr. Chicken & Waffles (Kids),,,,540,29,13,0.5,115,1010,49,2,8,22
Jr. Chicken Strips Dinner With AppleSauce (Kids),,,,440,27,4.5,0,50,860,31,2,13,17
Jr. Chicken Strips Dinner With Fries (Kids),,,,710,42,7,0,50,2030,60,5,2,22
Jr. Cupcake Pancake Combo (Kids),,,,570,30,12,0,280,950,58,1,37,17
"Jr. Waffle (With Applesauce, Kids)",,,,290,10,6,0,55,350,46,2,19,5
"Macaroni & Cheese (With Applesauce, Kids)",,,,370,17,8,0,25,860,45,2,16,10
Silver 5 (Kids),,,,420,24,10,0,290,1160,35,2,7,17
Apple Juice (Kids),,,,100,0,0,0,0,15,25,0,23,0
Orange Juice (Kids),,,,110,0,0,0,0,10,27,0,27,1
1% Milk (Kids),,,,100,2.5,1.5,0,10,105,12,0,12,8
Chocolate Milk (Kids),,,,190,2.5,1.5,0,10,130,34,1,33,8
Hot Chocolate (Kids),,,,120,3,2.5,0,5,190,24,0,21,1
