Name,Serving Size Description,Serving Size (g),Serving Size (mL),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
"Catering Caesar Salad (Serves 5)",1 container,,,930,72.0,18.0,2.0,130,1750,49,12.0,8,27
"Catering Caesar with Chicken Salad (Serves 10)",2 containers,,,2440,153.0,38.0,3.5,610,5190,108,24.0,19,166
"Catering Caesar with Chicken Salad (Serves 5)",1 container,,,1220,77.0,19.0,2.0,305,2590,54,12.0,9,83
Catering Chipotle Aioli For Breakfast Sandwiches,0.5 oz,,,90,10.0,1.5,0.0,10,125,1,0.0,0,0
"Catering Citrus Asian Crunch Salad (Serves 10)",2 containers,,,2190,128.0,16.0,1.0,0,4250,216,43.0,121,48
"Catering Citrus Asian Crunch Salad (Serves 5)",1 container,,,1090,64.0,8.0,0.0,0,2130,108,21.0,61,24
"Catering Citrus Asian Crunch Salad with Chicken (Serves 10)",2 containers,,,3140,171.0,26.0,1.5,515,6640,227,43.0,128,178
"Catering Citrus Asian Crunch Salad with Chicken (Serves 5)",1 container,,,1570,85.0,13.0,0.5,260,3320,114,21.0,64,89
Catering Deli Turkey on Country Rustic Sourdough (Half),0.5 sandwich,,,230,2.0,0.0,0.0,25,620,36,2.0,2,17
Catering Deli Turkey on Country Rustic Sourdough (Whole),1 sandwich,,,460,4.5,1.0,0.0,45,1240,71,4.0,5,34
Catering French Baguette,1 baguette,,,1060,3.5,1.0,0.0,0,2700,217,8.0,4,40
"Catering Fruit Salad (Serves 10)",1 container,,,790,2.5,0.5,0.0,0,160,203,14.0,150,11
"Catering Fruit Salad (Serves 5)",1 container,,,390,1.0,0.0,0.0,0,80,101,7.0,75,5
Catering Fuji Apple (Half),0.5 salad,,,230,16.0,3.5,0.0,10,210,18,3.0,11,4
"Catering Fuji Apple Salad (Serves 10)",2 containers,,,2260,167.0,35.0,2.5,85,2240,164,28.0,105,40
"Catering Fuji Apple Salad (Serves 5)",1 container,,,1130,84.0,18.0,1.0,45,1120,82,14.0,53,20
Catering Fuji Apple (Whole),1 salad,,,450,32.0,7.0,0.0,15,420,35,6.0,21,8
Catering Fuji Apple without Pecans (Half),0.5 salad,,,170,11.0,3.0,0.0,10,210,17,2.0,10,3
"Catering Fuji Apple Salad without Pecans (Serves 10)",2 containers,,,1750,114.0,30.0,2.5,85,2240,155,22.0,102,34
"Catering Fuji Apple Salad without Pecans (Serves 5)",1 container,,,880,57.0,15.0,1.0,45,1120,77,11.0,51,17
Catering Fuji Apple without Pecans (Whole),1 salad,,,350,21.0,6.0,0.0,15,420,33,5.0,21,7
"Catering Fuji Apple with Chicken Salad (Serves 10)",2 containers,,,2820,175.0,38.0,2.5,435,3940,174,28.0,107,153
"Catering Fuji Apple with Chicken Salad (Serves 5)",1 container,,,1410,88.0,19.0,1.0,215,1970,87,14.0,53,77
"Catering Fuji Apple with Chicken Salad without Pecans (Serves 10)",2 containers,,,2320,122.0,33.0,2.5,435,3940,165,22.0,104,147
"Catering Fuji Apple with Chicken Salad without Pecans (Serves 5)",1 container,,,1160,61.0,16.0,1.0,215,1970,82,11.0,52,73
Catering Garlic Aioli For Breakfast Sandwiches,0.5 oz,,,110,12.0,2.0,0.0,10,65,0,0.0,0,0
"Catering Greek Salad (Serves 10)",2 containers,,,2260,201.0,46.0,3.0,150,5910,85,28.0,36,40
Catering Greek Salad (Serve 5),1 container,,,1130,100.0,23.0,1.5,75,2960,42,14.0,18,20
"Catering Green Goddess Cobb Salad with Chicken (Serves 5)",1 container,,,1290,73.0,16.0,0.0,685,2450,67,20.0,34,99
"Catering Green Goddess Cobb Salad with Chicken (Serves 10)",1 container,,,2580,146.0,32.0,1.0,1375,4910,134,39.0,67,198
Catering Pastry Ring,1 pastry ring,,,2550,114.0,65.0,4.0,400,2020,346,9.0,171,41
"Catering Seasonal Greens Salad (Serves 10)",2 containers,,,1650,151.0,21.0,1.0,0,1870,63,18.0,28,17
"Catering Seasonal Greens Salad (Serves 5)",1 container,,,820,76.0,11.0,0.0,0,930,31,9.0,14,9
"Catering Seasonal Greens Salad with Chicken (Serves 10)",2 containers,,,2220,160.0,24.0,1.0,350,3560,73,18.0,30,130
"Catering Seasonal Greens Salad with Chicken (Serves 5)",1 container,,,1110,80.0,12.0,0.0,175,1780,36,9.0,15,65
"Catering Southwest Caesar Salad (Serves 10)",2 containers,,,2740,243.0,50.0,4.5,300,3500,106,45.0,21,54
"Catering Southwest Caesar Salad (Serves 5)",1 container,,,1370,121.0,25.0,2.0,150,1750,53,23.0,10,27
"Catering Southwest Caesar with Chicken Salad (Serves 10)",2 containers,,,3310,251.0,52.0,4.5,645,5200,116,45.0,22,167
"Catering Southwest Caesar with Chicken Salad (Serves 5)",1 container,,,1650,125.0,26.0,2.0,325,2600,58,23.0,11,84
"Catering Strawberry Poppyseed Salad (Serves 10)",2 containers,,,1240,59.0,6.0,1.5,0,840,177,44.0,125,25
"Catering Strawberry Poppyseed Salad (Serves 5)",1 container,,,620,30.0,3.0,1.0,0,420,89,22.0,63,12
"Catering Strawberry Poppyseed Salad without Pecans (Serves 10)",2 containers,,,730,6.0,0.5,1.5,0,840,168,37.0,123,18
"Catering Strawberry Poppyseed Salad without Pecans (Serves 5)",1 container,,,360,3.0,0.0,1.0,0,420,84,18.0,61,9
"Catering Strawberry Poppyseed with Chicken Salad (Serves 10)",2 containers,,,1800,68.0,9.0,1.5,350,2540,187,44.0,127,138
"Catering Strawberry Poppyseed with Chicken Salad (Serves 5)",1 container,,,900,34.0,4.5,1.0,175,1270,94,22.0,64,69
"Catering Strawberry Poppyseed with Chicken SaladWithout Pecans (Serves 10)",2 containers,,,1300,14.0,3.5,1.5,350,2540,178,37.0,124,132
"Catering Strawberry Poppyseed with Chicken Salad without Pecans (Serves 5)",1 container,,,650,7.0,1.5,1.0,175,1270,89,18.0,62,66
Catering Tomato Basil Cucumber Salad (Large Bowl),1 large bowl,,,980,60.0,9.0,0.0,0,5170,93,15.0,55,16
Catering Tomato Basil Cucumber Salad (Small Bowl),1 small bowl,,,490,30.0,4.5,0.0,0,2590,47,7.0,28,8
"Fuji Apple Cranberry Flavored Charged Lemonade (Group, Serves 10)",2 containers,,,1820,2.5,0.0,0.0,0,75,445,1.0,413,3
Signature Hot Chocolate (Group),1 container,,,5340,232.0,147.0,6.0,745,2060,755,33.0,483,81
"Mango Yuzu Citrus Flavored Charged Lemonade (Group, Serves 10)",2 containers,,,2210,3.0,0.5,0.0,0,70,541,2.0,515,3
"Passion Papaya Flavored Iced Green Tea (Group, Serves 10)",2 containers,,,900,0.0,0.0,0.0,0,135,223,0.0,222,0
"Premium Orange Juice (Group, Serves 10)",2 containers,,,1800,0.0,3.0,0.0,0,60,408,0.0,360,33
"Premium Orange Juice (Group, Serves 5)",2 containers,,,900,0.0,1.5,0.0,0,30,204,0.0,180,17
Seasonal Greens (Half),0.5 salad,,,140,13.0,2.0,0.0,0,160,6,2.0,3,2
Seasonal Greens (Whole),1 salad,,,290,25.0,3.5,0.0,0,320,13,4.0,6,4
Seasonal Greens with Chicken (Half),0.5 salad,,,200,13.0,2.0,0.0,35,320,7,2.0,3,13
Seasonal Greens with Chicken (Whole),1 salad,,,400,27.0,4.0,0.0,70,650,15,4.0,6,26
Sierra Turkey Sandwich on Asiago Cheese Focaccia (Half),0.5 sandwich,,,400,17.0,4.0,0.0,40,890,43,2.0,2,20
Sierra Turkey Sandwich on Asiago Cheese Focaccia (Whole),1 sandwich,,,800,33.0,8.0,0.0,80,1790,85,3.0,5,41
Steak & Arugula on Country Rustic Sourdough (Half),0.5 sandwich,,,360,16.0,3.5,0.0,45,560,37,2.0,4,17
Steak & Arugula on Country Rustic Sourdough (Whole),1 sandwich,,,710,31.0,7.0,0.0,85,1120,73,4.0,8,35
"Strawberry Lemon Mint Flavored Charged Lemonade (Group, Serves 10)",2 containers,,,1800,2.5,0.0,0.0,0,70,443,1.0,413,3
"Sweet Iced Tea (Group, Serves 10)",2 containers,,,730,0.0,0.0,0.0,0,75,164,0.0,163,14
"Sweet Iced Tea (Group, Serves 5)",1 container,,,360,0.0,0.0,0.0,0,35,82,0.0,81,7
"Tropical Hibiscus Tea (Group, Serves 10)",2 containers,,,0,0.0,0.0,0.0,0,0,0,0.0,0,0
Chicken Caesar Wrap,1 wrap,,,420,19.0,4.5,0.0,60,800,42,4.0,4,27
Deli Turkey on White Whole Grain Pullman (Half),0.5 sandwich,,,280,9.0,1.5,0.0,25,750,33,4.0,5,18
Grape Cup,1 container,,,120,0.0,0.0,0.0,0,0,31,2.0,26,1
Green Goddess Chicken Wrap,1 wrap,,,420,15.0,2.5,0.0,45,780,50,6.0,9,28
Hard Boiled Eggs,1 container,,,150,11.0,3.5,0.0,375,130,1,0.0,1,13
Large Summer Fruit Cup,1 container,,,120,0.5,0.0,0.0,0,15,31,4.0,18,2
Strawberry Poppyseed with Chicken (Whole),1 salad,,,350,13.0,1.5,0.0,70,470,36,8.0,25,27
Frontega Chicken Wrap,1 wrap,,,350,16.0,6.0,0.0,55,670,32,2.0,4,24
Black and White Chipper,1 chipper,,,60,3.0,1.5,0.0,5,30,9,0.0,6,1
Chocolate Chip Cookie,1 cookie,,,280,13.0,6.0,0.0,15,140,40,1.0,27,3
Ginger Molasses Cookie,1 cookie,,,280,10.0,5.0,0.0,15,105,43,1.0,23,3
Oatmeal Chocolate Chip Chipper,1 chipper,,,60,3.0,1.5,0.0,5,35,9,0.0,5,1
Oatmeal Raisin Cookie,1 cookie,,,270,10.0,4.5,0.0,10,170,41,2.0,22,4
Snickerdoodle Cookie,1 cookie,,,350,21.0,10.0,0.0,10,65,37,1.0,18,2
Sugar Cookie,1 cookie,,,340,21.0,10.0,0.0,10,65,37,1.0,18,2
Zucchini Nut Muffin,1 muffin,,,610,36.0,5.0,0.0,70,190,65,3.0,36,11
Chicken Walnut Salad on Molasses Bread (Half),0.5 sandwich,,,280,13.0,2.0,0.0,30,440,28,2.0,7,13
Chicken Walnut Salad on Molasses Bread (Whole),1 sandwich,,,550,26.0,4.0,0.0,60,880,55,4.0,14,26
Chipper Box Pack of 15,1 box,,,770,35.0,17.0,0.0,45,400,107,5.0,68,10
6 Pack Oatmeal Chocolate & Black and White Chippers,1 box,,,310,14.0,7.0,0.0,20,160,43,2.0,27,4
Dark Wheat Molasses Bread,0.66 inch slice,57.0,,150,0.0,0.0,0.0,0,240,32,1.0,8,5
Paradise Dozen Cookie Box,1 box,,,3530,175.0,80.0,1.5,145,1540,474,16.0,280,35
