Name,Serving Size Description,Serving Size (g),Serving Size (mL),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
Cafe Blend Light Roast Coffee (12 fl oz),,,355.0,15,0.0,0.0,0.0,0,10,2,0.0,0,1
Caffe Latte (16 fl oz),,,473.0,130,5.0,3.0,0.0,20,100,13,0.0,11,9
Caffe Latte (20 fl oz),,,591.0,160,6.0,4.0,0.0,25,125,16,0.0,14,11
Caffeine Free Diet Pepsi (20 fl oz),,,591.0,0,0.0,0.0,0.0,0,95,0,0.0,0,0
Caffeine Free Diet Pepsi (30 fl oz),,,887.0,0,0.0,0.0,0.0,0,140,0,0.0,0,0
Canada Dry Ginger Ale (20 fl oz),,,591.0,230,0.0,0.0,0.0,0,85,60,0.0,59,0
Canada Dry Ginger Ale (30 fl oz),,,887.0,340,0.0,0.0,0.0,0,125,90,0.0,89,0
Cappuccino (16 fl oz),,,473.0,130,5.0,3.0,0.0,20,100,13,0.0,11,9
Cappuccino (20 fl oz),,,591.0,160,6.0,4.0,0.0,25,125,16,0.0,14,11
Caramel Latte (16 fl oz),,,473.0,410,13.0,8.0,0.0,45,290,60,0.0,42,11
Caramel Latte (20 fl oz),,,591.0,500,16.0,10.0,0.0,50,360,76,0.0,53,13
Chai Tea Latte (20 fl oz),,,591.0,370,7.0,4.5,0.0,30,150,63,0.0,62,12
Chai Tea Latte (16 fl oz),,,473.0,290,6.0,4.0,0.0,25,130,49,0.0,48,10
Chocolate Latte (16 fl oz),,,473.0,370,10.0,6.0,0.0,35,190,60,2.0,43,12
Chocolate Latte (20 fl oz),,,591.0,420,11.0,7.0,0.0,40,230,67,3.0,49,14
Cinnamon Plum Tea (16 fl oz),,,473.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0
1 Pump of Cane Sugar Syrup,1 pump,,,20,0.0,0.0,0.0,0,0,5,0.0,5,0
Coke (20 fl oz),,,591.0,240,0.0,0.0,0.0,0,65,67,0.0,67,0
Coke (30 fl oz),,,887.0,370,0.0,0.0,0.0,0,95,100,0.0,100,0
Coca (Cola 20 fl oz),,,591.0,240,0.0,0.0,0.0,0,75,65,0.0,65,0
Coke Zero (20 fl oz),,,591.0,0,0.0,0.0,0.0,0,65,0,0.0,0,0
Coke Zero (20 fl oz Bottle),,,591.0,0,0.0,0.0,0.0,0,70,0,0.0,0,0
Coke Zero (30 fl oz),,,887.0,0,0.0,0.0,0.0,0,100,0,0.0,0,0
Cold Brew Coffee (16 fl oz),,,473.0,10,0.0,0.0,0.0,0,15,2,0.0,0,1
Cold Brew Coffee (20 fl oz),,,591.0,15,0.0,0.0,0.0,0,15,3,0.0,0,1
Dasani Lemon (12 fl oz can),,,355.0,0,0.0,0.0,0.0,0,35,0,0.0,0,0
Dasani Lime (12 fl oz can),,,355.0,0,0.0,0.0,0.0,0,35,0,0.0,0,0
Decaf Coffee (12 fl oz),,,355.0,15,0.0,0.0,0.0,0,0,3,0.0,0,0
Decaf Coffee (Group),1 container,,,140,0.0,0.0,0.0,0,40,32,0.0,0,4
Decaf Coffee (16 fl oz),,,473.0,20,0.0,0.0,0.0,0,5,4,0.0,0,0
Decaf Coffee (20 fl oz),,,591.0,25,0.0,0.0,0.0,0,5,5,0.0,0,1
Diet Coke (20 fl oz),,,591.0,0,0.0,0.0,0.0,0,80,0,0.0,0,0
Diet Coke (30 fl oz),,,887.0,0,0.0,0.0,0.0,0,120,0,0.0,0,0
